"id","cluster"
"1","CDH3"
"1","AGPAT2"
"1","KDELR1"
"1","CLU"
"1","F2RL1"
"1","DTX4"
"1","CD2AP"
"1","GATA6"
"1","TNFRSF21"
"1","ANXA4"
"1","HSPA1A"
"1","HSPA1B"
"1","IL18"
"1","INHBB"
"1","ITGB8"
"1","CD46"
"1","MDK"
"1","F11R"
"1","PCSK5"
"1","GPRC5B"
"1","TRPM4"
"1","LAPTM4B"
"1","LGR4"
"1","PRKCZ"
"1","SULF2"
"1","MAPK13"
"1","OTUD7B"
"1","RAB1A"
"1","CEACAM1"
"1","TSPAN6"
"1","EZR"
"1","IL1R2"
"1","FZD5"
"1","RNF128"
"1","NDFIP1"
"1","HYAL2"
"1","KLF4"
"2","ATP6AP2"
"2","CEBPB"
"2","IGF2BP2"
"2","NFAT5"
"2","TRIM6"
"2","ADORA2B"
"2","CCBE1"
"2","CYP1B1"
"2","CD55"
"2","EGR1"
"2","EPHA2"
"2","ABCA1"
"2","EREG"
"2","F3"
"2","DDX58"
"2","KPNA6"
"2","PANX1"
"2","GAS6"
"2","GBP1"
"2","NPTN"
"2","CD274"
"2","ANXA1"
"2","HFE"
"2","HIF1A"
"2","HMOX1"
"2","BIRC2"
"2","APP"
"2","IL1B"
"2","IL1R1"
"2","IL1RAP"
"2","IL6"
"2","IL6ST"
"2","IL7"
"2","IL15"
"2","INHBA"
"2","ITGAV"
"2","LIPA"
"2","LTBP3"
"2","SMAD3"
"2","FURIN"
"2","SERPINE1"
"2","ERRFI1"
"2","DDX60"
"2","NPLOC4"
"2","TBC1D23"
"2","AXL"
"2","PRNP"
"2","TWSG1"
"2","PTGS2"
"2","HEG1"
"2","PTPRJ"
"2","RAC1"
"2","BCL3"
"2","BCL6"
"2","S100A13"
"2","SNAI2"
"2","SPTBN1"
"2","STAT1"
"2","STAT3"
"2","TGFB2"
"2","THBS1"
"2","TSPO"
"2","TLR3"
"2","C3"
"2","MUL1"
"2","ZC3H12A"
"2","CD276"
"2","SLC2A10"
"2","CAPN2"
"2","DYSF"
"2","IL17RC"
"2","SERPINB7"
"2","FADD"
"2","IQGAP1"
"2","SPHK1"
"2","TAX1BP1"
"2","BCL10"
"2","NAV3"
"2","RPS6KA4"
"2","HOMER3"
"2","LITAF"
"2","ISG15"
"2","CD58"
"3","FLOT1"
"3","KLF2"
"3","GPNMB"
"3","MALT1"
"3","SIRPA"
"3","S1PR3"
"3","F2R"
"3","FGFR1"
"3","TRIM32"
"3","MAPKBP1"
"3","GAPDH"
"3","ZBTB20"
"3","ANGPT1"
"3","HRAS"
"3","LTBP1"
"3","LUM"
"3","SMAD7"
"3","LURAP1"
"3","POLR2L"
"3","RNF216"
"3","MAPK11"
"3","SEC14L1"
"3","TWIST1"
"3","WNT5A"
"3","ADAMTS3"
"3","SOCS5"
"3","CD81"
"4","BTN3A3"
"4","BTN2A2"
"4","TRIM38"
"4","BTN3A2"
"4","BTN3A1"
"4","BTN2A1"
"4","TMEM106A"
"4","ADCY7"
"4","CARD16"
"4","CYLD"
"4","SERPINB1"
"4","RFTN1"
"4","LY96"
"4","HLA-A"
"4","HLA-B"
"4","HLA-DPA1"
"4","HLA-E"
"4","HLA-F"
"4","HLA-G"
"4","MR1"
"4","BIRC3"
"4","IFI16"
"4","IRF1"
"4","IRF7"
"4","JAK2"
"4","NFKB2"
"4","HDAC7"
"4","PIK3CD"
"4","SRGN"
"4","B2M"
"4","PTGER4"
"4","RELB"
"4","IFIH1"
"4","TRIM21"
"4","STAT6"
"4","TGFB1"
"4","TNFAIP3"
"4","UBA7"
"4","ZFP36"
"4","TRIM25"
"4","DHX58"
"4","GSDMD"
"4","TRIM56"
"4","CASP1"
"4","NLRC5"
"4","CASP8"
"4","CARD11"
"4","RIPK2"
"4","NMI"
"4","LRRFIP1"
"4","UBE2L6"
"4","CD40"
"4","CD47"
"4","IKBKE"
"5","PQBP1"
"5","TRAIP"
"5","POLR3G"
"5","PHB2"
"5","TUSC2"
"5","DDT"
"5","DDX1"
"5","DHX9"
"5","POLR3H"
"5","KAT2A"
"5","STOML2"
"5","HSF1"
"5","HSP90AB1"
"5","MIF"
"5","NFKBIL1"
"5","DDX41"
"5","POLR3K"
"5","PHB"
"5","PIN1"
"5","POLR2E"
"5","POLR2F"
"5","POLR2H"
"5","SPHK2"
"5","DHX33"
"5","GPATCH3"
"5","SOD1"
"5","C1QBP"
"5","TRAF2"
"5","RNF26"
"5","CLPB"
"5","SEH1L"
"5","WDR83"
"5","DDX21"
"5","POLR1C"
"6","POLR3C"
"6","POLR3A"
"6","PARK7"
"6","MCOLN2"
